Date,Close,ma5,ma20,ma60
2017-11-17,241.5,239.3,240.125,227.99166666666667
2017-11-20,238.5,239.1,240.1,228.375
2017-11-21,243.0,239.7,240.35,228.80833333333334
2017-11-22,242.0,240.6,240.55,229.21666666666667
2017-11-23,242.5,241.5,240.875,229.65833333333333
2017-11-24,244.0,242.0,241.125,230.125
2017-11-27,237.0,241.7,240.825,230.45
2017-11-28,234.0,239.9,240.375,230.74166666666667
2017-11-29,234.5,238.4,239.975,231.04166666666666
2017-11-30,226.0,235.1,239.225,231.18333333333334
2017-12-01,231.0,232.5,238.825,231.4
2017-12-04,234.0,231.9,238.55,231.68333333333334
2017-12-05,229.5,231.0,237.825,231.89166666666668
2017-12-06,227.0,229.5,237.05,232.04166666666666
2017-12-07,226.5,229.6,236.325,232.2
2017-12-08,227.0,228.8,235.65,232.33333333333334
2017-12-11,227.5,227.5,235.05,232.49166666666667
2017-12-12,227.5,227.1,234.425,232.64166666666668
2017-12-13,227.0,227.1,233.9,232.78333333333333
2017-12-14,230.5,227.9,233.525,232.96666666666667
2017-12-15,230.0,228.5,232.95,233.10833333333332
2017-12-18,227.0,228.4,232.375,233.2
2017-12-19,225.0,227.9,231.475,233.26666666666668
2017-12-20,224.5,227.4,230.6,233.36666666666667
2017-12-21,225.0,226.3,229.725,233.5
2017-12-22,227.5,225.8,228.9,233.725
2017-12-25,228.5,226.1,228.475,233.95
2017-12-26,226.0,226.3,228.075,234.15
2017-12-27,225.0,226.4,227.6,234.29166666666666
2017-12-28,226.0,226.6,227.6,234.38333333333333
2017-12-29,229.5,227.0,227.525,234.5
2018-01-02,232.5,227.8,227.45,234.63333333333333
2018-01-03,237.0,230.0,227.825,234.84166666666667
2018-01-04,239.5,232.9,228.45,234.95
2018-01-05,240.0,235.7,229.125,234.99166666666667
2018-01-08,242.0,238.2,229.875,235.06666666666666
2018-01-09,242.0,240.1,230.6,235.13333333333333
2018-01-10,236.5,240.0,231.05,235.15
2018-01-11,235.0,239.1,231.45,235.10833333333332
2018-01-12,237.0,238.5,231.775,235.075
2018-01-15,240.0,238.1,232.275,235.11666666666667
2018-01-16,240.5,237.8,232.95,235.14166666666668
2018-01-17,242.0,238.9,233.8,235.20833333333334
2018-01-18,248.5,241.6,235.0,235.38333333333333
2018-01-19,255.5,245.3,236.525,235.70833333333334
2018-01-22,261.5,249.6,238.225,236.08333333333334
2018-01-23,266.0,254.7,240.1,236.46666666666667
2018-01-24,258.0,257.9,241.7,236.71666666666667
2018-01-25,258.0,259.8,243.35,236.975
2018-01-26,255.0,259.7,244.8,237.20833333333334
2018-01-29,258.5,259.1,246.25,237.53333333333333
2018-01-30,253.0,256.5,247.275,237.75833333333333
2018-01-31,255.0,255.9,248.175,237.94166666666666
2018-02-01,259.5,256.2,249.175,238.225
2018-02-02,259.5,257.1,250.15,238.53333333333333
2018-02-05,253.0,256.0,250.7,238.74166666666667
2018-02-06,239.0,253.2,250.55,238.73333333333332
2018-02-07,240.0,250.2,250.725,238.73333333333332
2018-02-08,238.5,246.0,250.9,238.75
2018-02-09,232.5,240.6,250.675,238.65833333333333
2018-02-12,236.5,237.3,250.5,238.575
2018-02-21,242.5,238.0,250.6,238.64166666666668
2018-02-22,239.5,237.9,250.475,238.58333333333334
2018-02-23,245.0,239.2,250.3,238.63333333333333
2018-02-26,246.5,242.0,249.85,238.7
2018-02-27,246.0,243.9,249.075,238.73333333333332
2018-03-01,243.0,244.0,247.925,238.83333333333334
2018-03-02,240.0,244.1,247.025,238.93333333333334
2018-03-05,241.5,243.4,246.2,239.05
2018-03-06,250.0,244.1,245.95,239.45
2018-03-07,247.0,244.3,245.375,239.71666666666667
2018-03-08,249.5,245.6,245.2,239.975
2018-03-09,250.5,247.7,244.975,240.325
2018-03-12,254.0,250.2,244.7,240.775
2018-03-13,259.0,252.0,244.675,241.31666666666666
2018-03-14,257.0,254.0,244.875,241.81666666666666
2018-03-15,255.0,255.1,245.675,242.275
2018-03-16,255.0,256.0,246.425,242.73333333333332
2018-03-19,255.0,256.2,247.25,243.2
2018-03-20,253.0,255.0,248.275,243.575
2018-03-21,252.5,254.1,249.075,243.95
2018-03-22,251.5,253.4,249.525,244.35833333333332
2018-03-23,245.0,251.4,249.8,244.69166666666666
2018-03-26,243.5,249.1,249.725,245.00833333333333
2018-03-27,251.0,248.7,249.95,245.44166666666666
2018-03-28,245.0,247.2,249.9,245.73333333333332
2018-03-29,244.0,245.7,249.95,245.99166666666667
2018-03-30,246.0,245.9,250.25,246.325
2018-04-02,246.5,246.5,250.5,246.68333333333334
2018-04-03,244.0,245.1,250.2,246.98333333333332
2018-04-09,245.0,245.1,250.1,247.24166666666667
2018-04-10,245.5,245.4,249.9,247.45833333333334
2018-04-11,248.0,245.8,249.775,247.64166666666668
2018-04-12,245.0,245.5,249.325,247.73333333333332
2018-04-13,244.5,245.6,248.6,247.80833333333334
2018-04-16,243.5,245.3,247.925,247.83333333333334
2018-04-17,238.0,243.8,247.075,247.76666666666668
2018-04-18,238.0,241.8,246.225,247.79166666666666
2018-04-19,244.5,241.7,245.7,247.95
2018-04-20,229.0,238.6,244.5,247.81666666666666
2018-04-23,226.5,235.2,243.2,247.59166666666667
2018-04-24,227.0,233.0,241.975,247.36666666666667
2018-04-25,225.0,230.4,240.975,247.08333333333334
2018-04-26,222.0,225.9,239.9,246.64166666666668
2018-04-27,223.5,224.8,238.525,246.10833333333332
2018-04-30,227.0,224.9,237.625,245.53333333333333
2018-05-02,223.0,224.1,236.575,244.81666666666666
2018-05-03,220.5,223.2,235.3,244.19166666666666
2018-05-04,223.0,223.4,234.125,243.60833333333332
2018-05-07,223.5,223.4,233.1,243.08333333333334
2018-05-08,228.0,223.6,232.25,242.575
2018-05-09,229.5,224.9,231.45,242.18333333333334
2018-05-10,229.5,226.7,230.525,241.75833333333333
2018-05-11,233.0,228.7,229.925,241.31666666666666
2018-05-14,233.0,230.6,229.35,240.875
2018-05-15,230.5,231.1,228.7,240.5
2018-05-16,230.5,231.3,228.325,240.35833333333332
2018-05-17,226.5,230.7,227.75,240.13333333333333
2018-05-18,223.5,228.8,226.7,239.88333333333333
2018-05-21,229.0,228.0,226.7,239.825
2018-05-22,229.0,227.7,226.825,239.7
2018-05-23,228.5,227.3,226.9,239.46666666666667
2018-05-24,229.0,227.8,227.1,239.29166666666666
2018-05-25,228.5,228.8,227.425,239.01666666666668
2018-05-28,227.0,228.4,227.6,238.69166666666666
2018-05-29,225.0,227.6,227.5,238.34166666666667
2018-05-30,221.0,226.1,227.4,237.975
2018-05-31,224.0,225.1,227.575,237.70833333333334
2018-06-01,224.0,224.2,227.625,237.41666666666666
2018-06-04,229.0,224.6,227.9,237.06666666666666
2018-06-05,229.0,225.4,227.95,236.76666666666668
2018-06-06,230.0,227.2,227.975,236.44166666666666
2018-06-07,230.0,228.4,228.0,236.1
2018-06-08,227.0,229.0,227.7,235.65
2018-06-11,226.0,228.4,227.35,235.1
2018-06-12,229.0,228.4,227.275,234.63333333333333
2018-06-13,232.0,228.8,227.35,234.25
2018-06-14,226.5,228.1,227.35,233.775
2018-06-15,231.0,228.9,227.725,233.375
2018-06-19,225.0,228.7,227.525,232.90833333333333
2018-06-20,226.0,228.1,227.375,232.46666666666667
2018-06-21,226.5,227.0,227.275,232.05
2018-06-22,227.5,227.2,227.2,231.75833333333333
2018-06-25,218.0,224.6,226.675,231.33333333333334
2018-06-26,214.5,222.5,226.05,230.725
2018-06-27,213.0,219.9,225.45,230.19166666666666
2018-06-28,212.0,217.0,225.0,229.65833333333333
2018-06-29,216.5,214.8,224.625,229.16666666666666
2018-07-02,214.0,214.0,224.125,228.625
2018-07-03,214.5,214.0,223.4,228.13333333333333
2018-07-04,216.0,214.6,222.75,227.65
2018-07-05,214.5,215.1,221.975,227.13333333333333
2018-07-06,217.0,215.2,221.325,226.61666666666667
